id_run,Agency1a,Allocentrism1a,Coalition1a,Ethos1a,Exchange1a,Intentionality1a,Logos1a,Might1a,Network1a,Pathos1a,SA1a,Team1a,Agency3a,Allocentrism3a,Coalition3a,Ethos3a,Exchange3a,Intentionality3a,Logos3a,Might3a,Network3a,Pathos3a,SA3a,Team3a,Agency3,Allocentrism3,Coalition3,Ethos3,Exchange3,Intentionality3,Logos3,Might3,Network3,Pathos3,SA3,Team3,Agency1,Allocentrism1,Coalition1,Ethos1,Exchange1,Intentionality1,Logos1,Might1,Network1,Pathos1,SA1,Team1
29,3.8,3.5,3,3.25,2.833333,3.333333,3.8,2.333333,2.5,3.5,3.666667,2.8,3.4,3.125,2.916667,2.90625,2.723404,3.520833,3.525,2.869565,2.916667,2.765957,3.270833,2.717949,74,46,48,47,51,88,83,68,17,33,83,40,89,80,65,81,56,67,80,39,17,86,92,47
30,3.8,3.5,3,3.25,3.666667,3.666667,3.8,2.2,3.833333,3.333333,3.6,2.4,3.3,3.288136,2.966667,3.075,3.15,3.366667,3.72,2.6,3.066667,2.966667,3.166667,3.02,59,71,58,67,93,63,98,37,34,61,65,75,89,80,65,81,96,85,80,38,89,81,92,22
31,4,3,3.5,2.5,3,3,3.8,2.666667,3.833333,3.166667,3.333333,2.6,2.983333,2.486111,2.763889,3.3125,2.652778,3.138889,3.183333,2.861111,3,2.694444,2.708333,2.4,16,0,22,88,39,23,30,67,23,22,5,9,97,33,90,34,71,38,80,62,89,73,75,34
32,3.2,3.333333,2.833333,2.5,3,2.5,3.8,2.666667,3.5,2.666667,3,2.4,3.333333,3.314815,3.092592,3.166667,3.037037,3.481482,3.6,3.185185,3.277778,3.203704,3.296296,3.066667,65,75,76,76,90,82,91,95,56,89,88,80,54,66,51,34,71,6,80,62,72,37,47,22
33,3.4,3.5,3,2,2.666667,3.166667,3.6,3.166667,1.666667,2.333333,2.5,3,3.387755,3.183333,2.766667,2.425,2.6,3.316667,3.26,2.8,2.983333,2.516667,3.116667,2.82,72,56,23,4,29,50,40,59,22,6,58,51,69,80,65,10,39,54,64,89,1,12,11,65
34,2.8,2.5,2.333333,1.75,1.666667,3.666667,3.4,2,2.5,2.5,2.5,2.8,3.24,3.05,2.883333,2.85,2.383333,3.433333,3.44,2.716667,3.25,2.95,3.05,2.94,49,36,43,40,4,75,69,48,52,59,44,65,23,7,18,3,0,85,50,18,17,23,11,47
35,3.4,3.5,3.333333,3,3.5,3.666667,3,2.833333,4,3.5,3.166667,3.4,3.15,2.916667,3.083333,3.40625,2.625,3.1875,2.975,2.9375,3.617021,2.875,2.8125,2.925,35,17,73,93,32,30,12,78,95,47,11,64,69,80,85,68,92,85,23,74,95,86,61,87
36,2,2.833333,2,2.25,1.666667,2.5,3.4,1.5,3,2.333333,2.5,2,3.022222,3.111111,3.056604,2.694444,2.814815,3.333333,3.577778,2.759259,2.851852,2.981482,3.166667,2.533333,19,43,69,24,65,53,88,53,13,66,65,18,0,24,3,19,0,6,50,3,42,12,11,5
37,4,3.833333,3.5,2.5,3.166667,3.666667,3.2,3,3,3,3.333333,3.6,3.36,3.20339,3.35,3.125,3.189655,3.083333,2.857143,2.881356,3.779661,3.216667,3.016949,3.612245,70,59,96,71,95,16,5,70,98,92,36,99,97,96,90,34,80,85,38,82,42,64,75,94
38,3.4,3.666667,3.666667,3.5,3.5,3.666667,4,3.666667,3.666667,3.666667,3.333333,3.4,3.457143,2.642857,3,3.428571,2.738095,3.380952,3.314286,3.261905,3.071429,2.928571,3,2.685714,83,1,61,94,53,67,49,97,35,56,32,36,69,90,93,92,92,85,93,95,81,92,75,87
39,2.8,3,3,2.25,2.833333,2.833333,2.4,1.833333,3.5,2.5,3,3.4,3.507692,3.5,3.337662,2.980392,2.987013,3.525641,3.484375,2.792208,3.782051,3.155844,3.434211,3.369231,90,94,95,59,86,90,77,58,98,86,97,97,23,33,65,19,56,23,2,10,72,23,47,87
