id_run,Agency1a,Allocentrism1a,Coalition1a,Ethos1a,Exchange1a,Intentionality1a,Logos1a,Might1a,Network1a,Pathos1a,SA1a,Team1a,Agency3a,Allocentrism3a,Coalition3a,Ethos3a,Exchange3a,Intentionality3a,Logos3a,Might3a,Network3a,Pathos3a,SA3a,Team3a,Agency3,Allocentrism3,Coalition3,Ethos3,Exchange3,Intentionality3,Logos3,Might3,Network3,Pathos3,SA3,Team3,Agency1,Allocentrism1,Coalition1,Ethos1,Exchange1,Intentionality1,Logos1,Might1,Network1,Pathos1,SA1,Team1
29,3.8,3.5,3,3.25,2.833333,3.333333,3.8,2.333333,2.5,3.5,3.666667,2.8,3.4,3.125,2.916667,2.90625,2.723404,3.520833,3.525,2.869565,2.916667,2.765957,3.270833,2.717949,72,44,47,48,45,90,84,66,17,29,79,30,91,80,66,82,61,68,78,41,19,90,94,47
30,3.8,3.5,3,3.25,3.666667,3.666667,3.8,2.2,3.833333,3.333333,3.6,2.4,3.3,3.288136,2.966667,3.075,3.15,3.366667,3.72,2.6,3.066667,2.966667,3.166667,3.02,56,70,56,66,94,62,98,32,32,56,64,74,91,80,66,82,98,87,78,40,92,84,93,23
31,4,3,3.5,2.5,3,3,3.8,2.666667,3.833333,3.166667,3.333333,2.6,2.983333,2.486111,2.763889,3.3125,2.652778,3.138889,3.183333,2.861111,3,2.694444,2.708333,2.4,16,0,20,89,32,22,29,65,23,19,3,7,98,32,91,40,71,39,78,62,92,73,76,35
32,3.2,3.333333,2.833333,2.5,3,2.5,3.8,2.666667,3.5,2.666667,3,2.4,3.333333,3.314815,3.092592,3.166667,3.037037,3.481482,3.6,3.185185,3.277778,3.203704,3.296296,3.066667,64,75,75,76,90,82,92,95,59,86,85,78,55,69,53,40,71,7,78,62,78,31,50,23
33,3.4,3.5,3,2,2.666667,3.166667,3.6,3.166667,1.666667,2.333333,2.5,3,3.387755,3.183333,2.766667,2.425,2.6,3.316667,3.26,2.8,2.983333,2.516667,3.116667,2.82,71,55,20,3,22,50,38,55,21,1,58,44,68,80,66,8,39,55,67,89,1,11,9,63
34,2.8,2.5,2.333333,1.75,1.666667,3.666667,3.4,2,2.5,2.5,2.5,2.8,3.24,3.05,2.883333,2.85,2.383333,3.433333,3.44,2.716667,3.25,2.95,3.05,2.94,45,32,43,38,3,77,70,47,54,53,40,62,23,9,17,3,1,87,54,20,19,20,9,47
35,3.4,3.5,3.333333,3,3.5,3.666667,3,2.833333,4,3.5,3.166667,3.4,3.15,2.916667,3.083333,3.40625,2.625,3.1875,2.975,2.9375,3.617021,2.875,2.8125,2.925,35,17,72,94,26,29,11,75,96,42,10,60,68,80,85,70,94,87,26,73,96,90,63,86
36,2,2.833333,2,2.25,1.666667,2.5,3.4,1.5,3,2.333333,2.5,2,3.022222,3.111111,3.056604,2.694444,2.814815,3.333333,3.577778,2.759259,2.851852,2.981482,3.166667,2.533333,19,41,70,19,62,54,89,50,11,61,64,13,0,23,4,20,1,7,54,3,45,11,9,4
37,4,3.833333,3.5,2.5,3.166667,3.666667,3.2,3,3,3,3.333333,3.6,3.36,3.20339,3.35,3.125,3.189655,3.083333,2.857143,2.881356,3.779661,3.216667,3.016949,3.612245,69,60,97,70,96,13,4,68,99,89,36,100,98,96,91,40,80,87,42,81,45,63,76,91
38,3.4,3.666667,3.666667,3.5,3.5,3.666667,4,3.666667,3.666667,3.666667,3.333333,3.4,3.457143,2.642857,3,3.428571,2.738095,3.380952,3.314286,3.261905,3.071429,2.928571,3,2.685714,84,1,59,95,48,67,48,98,33,50,31,26,68,92,94,92,94,87,93,97,85,95,76,86
